"id","title","air_date","month","year","full_epi_code"
49,"Quiet Woods","1984-11-07",11,1984,"S04E10"
50,"Northwest Majesty","1984-11-14",11,1984,"S04E11"
51,"Autumn Days","1984-11-21",11,1984,"S04E12"
52,"Mountain Challenge","1984-11-28",11,1984,"S04E13"
53,"Mountain Waterfall","1985-01-02",1,1985,"S05E01"
54,"Twilight Meadow","1985-01-09",1,1985,"S05E02"
55,"Mountain Blossoms","1985-01-16",1,1985,"S05E03"
56,"Winter Stillness","1985-01-23",1,1985,"S05E04"
57,"Quiet Pond","1985-01-30",1,1985,"S05E05"
58,"Ocean Sunrise","1985-02-06",2,1985,"S05E06"
59,"Bubbling Brook","1985-02-13",2,1985,"S05E07"
60,"Arizona Splendor","1985-02-20",2,1985,"S05E08"
61,"Anatomy of a Wave","1985-02-27",2,1985,"S05E09"
62,"The Windmill","1985-03-06",3,1985,"S05E10"
63,"Autumn Glory","1985-03-13",3,1985,"S05E11"
64,"Indian Girl","1985-03-20",3,1985,"S05E12"
65,"Meadow Stream","1985-03-27",3,1985,"S05E13"
66,"Blue River","1985-05-01",5,1985,"S06E01"
67,"Nature's Edge","1985-05-08",5,1985,"S06E02"
68,"Morning Mist","1985-05-15",5,1985,"S06E03"
69,"Whispering Stream","1985-05-22",5,1985,"S06E04"
70,"Secluded Forest","1985-05-29",5,1985,"S06E05"
71,"Snow Trail","1985-06-05",6,1985,"S06E06"
72,"Arctic Beauty","1985-06-12",6,1985,"S06E07"
73,"Horizons West","1985-06-19",6,1985,"S06E08"
74,"High Chateau","1985-06-26",6,1985,"S06E09"
75,"Country Life","1985-07-02",7,1985,"S06E10"
76,"Western Expanse","1985-07-09",7,1985,"S06E11"
77,"Marshlands","1985-07-16",7,1985,"S06E12"
78,"Blaze of Color","1985-07-23",7,1985,"S06E13"
79,"Winter Cabin","1985-10-02",10,1985,"S07E01"
80,"Secluded Lake","1985-10-09",10,1985,"S07E02"
81,"Evergreen at Sunset","1985-10-16",10,1985,"S07E03"
82,"Mountain Cabin","1985-10-23",10,1985,"S07E04"
83,"Portrait of Sally","1985-10-30",10,1985,"S07E05"
84,"Misty Waterfall","1985-11-06",11,1985,"S07E06"
85,"Barn at Sunset","1985-11-13",11,1985,"S07E07"
86,"Mountain Splendor","1985-11-20",11,1985,"S07E08"
87,"Lake by Mountain","1985-11-27",11,1985,"S07E09"
88,"Mountain Glory","1985-12-06",12,1985,"S07E10"
89,"Grey Winter","1985-12-13",12,1985,"S07E11"
90,"Dock Scene","1985-12-20",12,1985,"S07E12"
91,"Dark Waterfall","1985-12-27",12,1985,"S07E13"
92,"Misty Rolling Hills","1986-01-02",1,1986,"S08E01"
93,"Lakeside Cabin","1986-01-09",1,1986,"S08E02"
94,"Warm Winter Day","1986-01-16",1,1986,"S08E03"
95,"Waterside Way","1986-01-23",1,1986,"S08E04"
96,"Hunter's Haven","1986-01-30",1,1986,"S08E05"
97,"Bubbling Mountain Brook","1986-02-06",2,1986,"S08E06"
98,"Winter Hideaway","1986-02-13",2,1986,"S08E07"
99,"Foot of the Mountain","1986-02-20",2,1986,"S08E08"
100,"Majestic Pine","1986-02-27",2,1986,"S08E09"
101,"Cactus at Sunset","1986-03-06",3,1986,"S08E10"
102,"Mountain Range","1986-03-13",3,1986,"S08E11"
103,"Lonely Retreat","1986-03-20",3,1986,"S08E12"
104,"Northern Lights","1986-03-27",3,1986,"S08E13"
105,"Winter Evergreens","1986-04-30",4,1986,"S09E01"
106,"Surf's Up","1986-05-07",5,1986,"S09E02"
107,"Red Sunset","1986-05-14",5,1986,"S09E03"
108,"Meadow Road","1986-05-21",5,1986,"S09E04"
109,"Winter Oval","1986-05-28",5,1986,"S09E05"
110,"Secluded Beach","1986-06-04",6,1986,"S09E06"
111,"Forest Hills","1986-06-11",6,1986,"S09E07"
112,"Little House by the Road","1986-06-18",6,1986,"S09E08"
113,"Mountain Pass","1986-06-25",6,1986,"S09E09"
114,"Country Charm","1986-07-02",7,1986,"S09E10"
115,"Nature's Paradise","1986-07-09",7,1986,"S09E11"
116,"Mountain by the Sea","1986-07-16",7,1986,"S09E12"
117,"Mountain Hideaway","1986-07-23",7,1986,"S09E13"
118,"Towering Peaks","1986-09-03",9,1986,"S10E01"
119,"Cabin at Sunset","1986-09-10",9,1986,"S10E02"
120,"Twin Falls","1986-09-17",9,1986,"S10E03"
121,"Secluded Bridge","1986-09-24",9,1986,"S10E04"
122,"Ocean Breeze","1986-10-01",10,1986,"S10E05"
123,"Autumn Woods","1986-10-08",10,1986,"S10E06"
124,"Winter Solitude","1986-10-15",10,1986,"S10E07"
125,"Golden Sunset","1986-10-22",10,1986,"S10E08"
126,"Mountain Oval","1986-10-29",10,1986,"S10E09"
127,"Ocean Sunset","1986-11-05",11,1986,"S10E10"
128,"Triple View","1986-11-12",11,1986,"S10E11"
129,"Winter Frost","1986-11-19",11,1986,"S10E12"
130,"Lakeside Cabin","1986-11-26",11,1986,"S10E13"
131,"Mountain Stream","1986-12-31",12,1986,"S11E01"
132,"Country Cabin","1987-01-07",1,1987,"S11E02"
133,"Daisy Delight","1987-01-14",1,1987,"S11E03"
134,"Hidden Stream","1987-01-21",1,1987,"S11E04"
135,"Towering Glacier","1987-01-28",1,1987,"S11E05"
136,"Oval Barn","1987-02-04",2,1987,"S11E06"
137,"Lakeside Path","1987-02-11",2,1987,"S11E07"
138,"Sunset Oval","1987-02-18",2,1987,"S11E08"
139,"Winter Barn","1987-02-25",2,1987,"S11E09"
140,"Sunset Over the Waves","1987-03-04",3,1987,"S11E10"
141,"Golden Glow","1987-03-11",3,1987,"S11E11"
142,"Roadside Barn","1987-03-18",3,1987,"S11E12"
143,"Happy Accident","1987-03-25",3,1987,"S11E13"
144,"Golden Knoll","1987-04-29",4,1987,"S12E01"
145,"Mountain Reflections","1987-05-06",5,1987,"S12E02"
146,"Secluded Mountain","1987-05-13",5,1987,"S12E03"
147,"Bright Autumn Trees","1987-05-20",5,1987,"S12E04"
148,"Black Seascape","1987-05-27",5,1987,"S12E05"
149,"Steep Mountains","1987-06-03",6,1987,"S12E06"
150,"Quiet Mountain River","1987-06-10",6,1987,"S12E07"
151,"Evening Waterfall","1987-06-17",6,1987,"S12E08"
152,"Tropical Seascape","1987-06-24",6,1987,"S12E09"
153,"Mountain at Sunset","1987-07-01",7,1987,"S12E10"
154,"Soft Mountain Glow","1987-07-08",7,1987,"S12E11"
155,"Mountain in an Oval","1987-07-15",7,1987,"S12E12"
156,"Winter Mountain","1987-07-22",7,1987,"S12E13"
157,"Rolling Hills","1987-09-02",9,1987,"S13E01"
158,"Frozen Solitude","1987-09-09",9,1987,"S13E02"
159,"Meadow Brook","1987-09-16",9,1987,"S13E03"
160,"Evening Sunset","1987-09-23",9,1987,"S13E04"
161,"Mountain View","1987-09-30",9,1987,"S13E05"
162,"Hidden Creek","1987-10-07",10,1987,"S13E06"
163,"Peaceful Haven","1987-10-14",10,1987,"S13E07"
164,"Mountain Exhibition","1987-10-21",10,1987,"S13E08"
165,"Emerald Waters","1987-10-28",10,1987,"S13E09"
166,"Mountain Summit","1987-11-04",11,1987,"S13E10"
167,"Cabin Hideaway","1987-11-11",11,1987,"S13E11"
168,"Oval Essence","1987-11-18",11,1987,"S13E12"
169,"Lost Lake","1987-11-25",11,1987,"S13E13"
170,"Distant Mountains","1987-12-30",12,1987,"S14E01"
171,"Meadow Brook Surprise","1988-01-06",1,1988,"S14E02"
172,"Mountain Moonlight Oval","1988-01-13",1,1988,"S14E03"
173,"Snowy Solitude","1988-01-20",1,1988,"S14E04"
174,"Mountain River","1988-01-27",1,1988,"S14E05"
175,"Graceful Mountains","1988-02-03",2,1988,"S14E06"
176,"Windy Waves","1988-02-10",2,1988,"S14E07"
177,"On a Clear Day","1988-02-17",2,1988,"S14E08"
178,"Riverside Escape Oval","1988-02-24",2,1988,"S14E09"
179,"Surprising Falls","1988-03-02",3,1988,"S14E10"
180,"Shadow Pond","1988-03-09",3,1988,"S14E11"
181,"Misty Forest","1988-03-16",3,1988,"S14E12"
182,"Natural Wonder","1988-03-23",3,1988,"S14E13"
183,"Splendor of Winter","1988-04-27",4,1988,"S15E01"
184,"Colors of Nature","1988-05-04",5,1988,"S15E02"
185,"Grandpa's Barn","1988-05-11",5,1988,"S15E03"
186,"Peaceful Reflections","1988-05-18",5,1988,"S15E04"
187,"Hidden Winter Moon Oval","1988-05-25",5,1988,"S15E05"
188,"Waves of Wonder","1988-06-01",6,1988,"S15E06"
189,"Cabin by the Pond","1988-06-08",6,1988,"S15E07"
190,"Fall Stream","1988-06-15",6,1988,"S15E08"
191,"Christmas Eve Snow","1988-06-22",6,1988,"S15E09"
192,"Forest Dawn Oval","1988-06-29",6,1988,"S15E10"
193,"Pathway to Autumn","1988-07-06",7,1988,"S15E11"
194,"Deep Forest Lake","1988-07-13",7,1988,"S15E12"
195,"Peaks of Majesty","1988-07-20",7,1988,"S15E13"
196,"Two Seasons","1988-08-17",8,1988,"S16E01"
197,"Nestled Cabin","1988-08-24",8,1988,"S16E02"
198,"Wintertime Discovery","1988-08-31",8,1988,"S16E03"
199,"Mountain Mirage","1988-09-07",9,1988,"S16E04"
200,"Double Oval Fantasy","1988-09-14",9,1988,"S16E05"
201,"Contemplative Lady","1988-09-21",9,1988,"S16E06"
202,"Deep Woods","1988-09-28",9,1988,"S16E07"
203,"High Tide","1988-10-05",10,1988,"S16E08"
204,"Barn in Snow Oval","1988-10-12",10,1988,"S16E09"
205,"That Time of Year","1988-10-19",10,1988,"S16E10"
206,"Waterfall Wonder","1988-10-26",10,1988,"S16E11"
207,"Mighty Mountain Lake","1988-11-02",11,1988,"S16E12"
208,"Wooded Stream Oval","1988-11-09",11,1988,"S16E13"
209,"Golden Mist Oval","1989-01-04",1,1989,"S17E01"
210,"Old Place Home","1989-01-11",1,1989,"S17E02"
211,"Soothing Vista","1989-01-18",1,1989,"S17E03"
212,"Stormy Seas","1989-01-25",1,1989,"S17E04"
213,"Country Time","1989-02-01",2,1989,"S17E05"
214,"A Mild Winter's Day","1989-02-08",2,1989,"S17E06"
215,"Spectacular Waterfall","1989-02-15",2,1989,"S17E07"
216,"View From the Park","1989-02-22",2,1989,"S17E08"
217,"Lake View","1989-03-01",3,1989,"S17E09"
218,"Old Country Mill","1989-03-08",3,1989,"S17E10"
219,"Morning Walk","1989-03-15",3,1989,"S17E11"
220,"Nature's Splendor","1989-03-22",3,1989,"S17E12"
221,"Mountain Beauty","1989-03-29",3,1989,"S17E13"
222,"Half Oval Vignette","1989-07-05",7,1989,"S18E01"
223,"Absolutely Autumn","1989-07-12",7,1989,"S18E02"
224,"Mountain Seclusion","1989-07-19",7,1989,"S18E03"
225,"Crimson Oval","1989-07-26",7,1989,"S18E04"
226,"Autumn Exhibition","1989-08-02",8,1989,"S18E05"
227,"Majestic Peaks","1989-08-09",8,1989,"S18E06"
228,"Golden Morning Mist","1989-08-16",8,1989,"S18E07"
229,"Winter Lace","1989-08-23",8,1989,"S18E08"
230,"Seascape Fantasy","1989-08-30",8,1989,"S18E09"
231,"Double Oval Stream","1989-09-06",9,1989,"S18E10"
232,"Enchanted Forest","1989-09-13",9,1989,"S18E11"
233,"Southwest Serenity","1989-09-20",9,1989,"S18E12"
234,"Rippling Waters","1989-09-27",9,1989,"S18E13"
235,"Snowfall Magic","1990-01-03",1,1990,"S19E01"
236,"Quiet Mountain Lake","1990-01-10",1,1990,"S19E02"
237,"Final Embers of Sunlight","1990-01-17",1,1990,"S19E03"
238,"Snowy Morn","1990-01-24",1,1990,"S19E04"
239,"Camper's Haven","1990-01-31",1,1990,"S19E05"
240,"Waterfall in the Woods","1990-02-07",2,1990,"S19E06"
241,"Covered Bridge Oval","1990-02-14",2,1990,"S19E07"
242,"Scenic Seclusion","1990-02-21",2,1990,"S19E08"
243,"Ebb Tide","1990-02-28",2,1990,"S19E09"
244,"After the Rain","1990-03-07",3,1990,"S19E10"
245,"Winter Elegance","1990-03-14",3,1990,"S19E11"
246,"Evening's Peace","1990-03-21",3,1990,"S19E12"
247,"Valley of Tranquility","1990-03-28",3,1990,"S19E13"
248,"Mystic Mountain","1990-04-04",4,1990,"S20E01"
249,"New Day's Dawn","1990-04-11",4,1990,"S20E02"
250,"Pastel Winter","1990-04-18",4,1990,"S20E03"
251,"Hazy Day","1990-04-25",4,1990,"S20E04"
252,"Divine Elegance","1990-05-02",5,1990,"S20E05"
253,"Cliffside","1990-05-09",5,1990,"S20E06"
254,"Autumn Fantasy","1990-05-16",5,1990,"S20E07"
255,"Old Oak Tree","1990-05-23",5,1990,"S20E08"
256,"Winter Paradise","1990-05-30",5,1990,"S20E09"
257,"Days Gone By","1990-06-06",6,1990,"S20E10"
258,"Change of Seasons","1990-06-13",6,1990,"S20E11"
259,"Hidden Delight","1990-06-20",6,1990,"S20E12"
260,"Double Take","1990-06-27",6,1990,"S20E13"
261,"Valley View","1990-09-05",9,1990,"S21E01"
262,"Tranquil Dawn","1990-09-12",9,1990,"S21E02"
263,"Royal Majesty","1990-09-19",9,1990,"S21E03"
264,"Serenity","1990-09-26",9,1990,"S21E04"
265,"Cabin at Trial's End","1990-10-03",10,1990,"S21E05"
266,"Mountain Rhapsody","1990-10-10",10,1990,"S21E06"
267,"Wilderness Cabin","1990-10-17",10,1990,"S21E07"
268,"By the Sea","1990-10-24",10,1990,"S21E08"
269,"Indian Summer","1990-10-31",10,1990,"S21E09"
270,"Blue Winter","1990-11-07",11,1990,"S21E10"
271,"Desert Glow","1990-11-14",11,1990,"S21E11"
272,"Lone Mountain","1990-11-21",11,1990,"S21E12"
273,"Florida's Glory","1990-11-28",11,1990,"S21E13"
274,"Autumn Images","1991-01-01",1,1991,"S22E01"
275,"Hint of Springtime","1991-01-08",1,1991,"S22E02"
276,"Around the Bend","1991-01-15",1,1991,"S22E03"
277,"Countryside Oval","1991-01-22",1,1991,"S22E04"
278,"Russet Winter","1991-01-29",1,1991,"S22E05"
279,"Purple Haze","1991-02-05",2,1991,"S22E06"
280,"Dimensions","1991-02-12",2,1991,"S22E07"
281,"Deep Wilderness Home","1991-02-19",2,1991,"S22E08"
282,"Haven in the Valley","1991-02-26",2,1991,"S22E09"
283,"Wintertime Blues","1991-03-05",3,1991,"S22E10"
284,"Pastel Seascape","1991-03-12",3,1991,"S22E11"
285,"Country Creek","1991-03-19",3,1991,"S22E12"
286,"Silent Forest","1991-03-26",3,1991,"S22E13"
287,"Frosty Winter Morn","1991-09-03",9,1991,"S23E01"
288,"Forest Edge","1991-09-10",9,1991,"S23E02"
289,"Mountain Ridge Lake","1991-09-17",9,1991,"S23E03"
290,"Reflections of Gold","1991-09-24",9,1991,"S23E04"
291,"Quiet Cove","1991-10-01",10,1991,"S23E05"
292,"River's Peace","1991-10-08",10,1991,"S23E06"
293,"At Dawn's Light","1991-10-15",10,1991,"S23E07"
294,"Valley Waterfall","1991-10-22",10,1991,"S23E08"
295,"Toward Day's End","1991-10-29",10,1991,"S23E09"
296,"Falls in the Glen","1991-11-05",11,1991,"S23E10"
297,"Frozen Beauty in Vignette","1991-11-12",11,1991,"S23E11"
298,"Crimson Tide","1991-11-19",11,1991,"S23E12"
299,"Winter Bliss","1991-11-26",11,1991,"S23E13"
300,"Grey Mountain","1992-01-07",1,1992,"S24E01"
301,"Wayside Pond","1992-01-14",1,1992,"S24E02"
302,"Teton Winter","1992-01-21",1,1992,"S24E03"
303,"Little Home in the Meadow","1992-01-28",1,1992,"S24E04"
304,"Pretty Autumn Day","1992-02-04",2,1992,"S24E05"
305,"Mirrored Images","1992-02-11",2,1992,"S24E06"
306,"Back-Country Path","1992-02-18",2,1992,"S24E07"
307,"Graceful Waterfall","1992-02-25",2,1992,"S24E08"
308,"Icy Lake","1992-03-03",3,1992,"S24E09"
309,"Rowboat on the Beach","1992-03-10",3,1992,"S24E10"
310,"Portrait of Winter","1992-03-17",3,1992,"S24E11"
311,"Footbridge","1992-03-24",3,1992,"S24E12"
312,"Snowbound Cabin","1992-03-31",3,1992,"S24E13"
313,"Hide-a-Way Cove","1992-08-25",8,1992,"S25E01"
314,"Enchanted Falls Oval","1992-09-01",9,1992,"S25E02"
315,"Not Quite Spring","1992-09-08",9,1992,"S25E03"
316,"Splashes of Autumn","1992-09-15",9,1992,"S25E04"
317,"Summer in the Mountains","1992-09-22",9,1992,"S25E05"
318,"Oriental Falls","1992-09-29",9,1992,"S25E06"
319,"Autumn Palette","1992-10-06",10,1992,"S25E07"
320,"Cypress Swamp","1992-10-13",10,1992,"S25E08"
321,"Downstream View","1992-10-20",10,1992,"S25E09"
322,"Just Before the Storm","1992-10-27",10,1992,"S25E10"
323,"Fisherman's Paradise","1992-11-03",11,1992,"S25E11"
324,"Desert Hues","1992-11-10",11,1992,"S25E12"
325,"The Property Line","1992-11-17",11,1992,"S25E13"
326,"In the Stillness of Morning","1992-12-01",12,1992,"S26E01"
327,"Delightful Meadow Home","1992-12-08",12,1992,"S26E02"
328,"First Snow","1992-12-15",12,1992,"S26E03"
329,"Lake in the Valley","1992-12-22",12,1992,"S26E04"
330,"A Trace of Spring","1992-12-29",12,1992,"S26E05"
331,"An Arctic Winter Day","1993-01-05",1,1993,"S26E06"
332,"Snow Birch","1993-01-12",1,1993,"S26E07"
333,"Early Autumn","1993-01-19",1,1993,"S26E08"
334,"Tranquil Wooded Stream","1993-01-26",1,1993,"S26E09"
335,"Purple Mountain Range","1993-02-02",2,1993,"S26E10"
336,"Storm's a Comin'","1993-02-09",2,1993,"S26E11"
337,"Sunset Aglow","1993-02-16",2,1993,"S26E12"
338,"Evening at the Falls","1993-02-23",2,1993,"S26E13"
339,"Twilight Beauty","1993-03-02",3,1993,"S27E01"
340,"Angler's Haven","1993-03-09",3,1993,"S27E02"
341,"Rustic Winter Woods","1993-03-16",3,1993,"S27E03"
342,"Wilderness Falls","1993-03-23",3,1993,"S27E04"
343,"Winter at the Farm","1993-03-30",3,1993,"S27E05"
344,"Daisies at Dawn","1993-04-06",4,1993,"S27E06"
345,"A Spectacular View","1993-04-13",4,1993,"S27E07"
346,"Daybreak","1993-04-20",4,1993,"S27E08"
347,"Island Paradise","1993-04-27",4,1993,"S27E09"
348,"Sunlight in the Shadows","1993-05-04",5,1993,"S27E10"
349,"Splendor of a Snowy Winter","1993-05-11",5,1993,"S27E11"
350,"Forest River","1993-05-18",5,1993,"S27E12"
351,"Golden Glow of Morning","1993-05-20",5,1993,"S27E13"
352,"Fisherman's Trail","1993-05-25",5,1993,"S28E01"
353,"A Warm Winter","1993-06-01",6,1993,"S28E02"
354,"Under Pastel Skies","1993-06-08",6,1993,"S28E03"
355,"Golden Rays of Sunlight","1993-06-15",6,1993,"S28E04"
356,"The Magic of Fall","1993-06-22",6,1993,"S28E05"
357,"Glacier Lake","1993-06-29",6,1993,"S28E06"
358,"The Old Weathered Barn","1993-07-06",7,1993,"S28E07"
359,"Deep Forest Falls","1993-07-13",7,1993,"S28E08"
360,"Winter's Grace","1993-07-20",7,1993,"S28E09"
361,"Splendor of Autumn","1993-07-27",7,1993,"S28E10"
362,"Tranquil Seas","1993-08-03",8,1993,"S28E11"
363,"Mountain Serenity","1993-08-10",8,1993,"S28E12"
364,"Home Before Nightfall","1993-08-17",8,1993,"S28E13"
365,"Island in the Wilderness","1993-08-24",8,1993,"S29E01"
366,"Autumn Oval","1993-08-31",8,1993,"S29E02"
367,"Seasonal Progression","1993-09-07",9,1993,"S29E03"
368,"Light at the Summit","1993-09-14",9,1993,"S29E04"
369,"Countryside Barn","1993-09-21",9,1993,"S29E05"
370,"Mountain Lake Falls","1993-09-28",9,1993,"S29E06"
371,"Cypress Creek","1993-10-05",10,1993,"S29E07"
372,"Trapper's Cabin","1993-10-12",10,1993,"S29E08"
373,"Storm on the Horizon","1993-10-19",10,1993,"S29E09"
374,"Pot O' Posies","1993-10-26",10,1993,"S29E10"
375,"A Perfect Winter Day","1993-11-02",11,1993,"S29E11"
376,"Aurora's Dance","1993-11-09",11,1993,"S29E12"
377,"Woodsman's Retreat","1993-11-16",11,1993,"S29E13"
378,"Babbling Brook","1993-11-23",11,1993,"S30E01"
379,"Woodgrain View","1993-11-30",11,1993,"S30E02"
380,"Winter's Peace","1993-12-07",12,1993,"S30E03"
381,"Wilderness Trail","1993-12-14",12,1993,"S30E04"
382,"A Copper Winter","1993-12-21",12,1993,"S30E05"
383,"Misty Foothills","1993-12-28",12,1993,"S30E06"
384,"Through the Window","1994-01-04",1,1994,"S30E07"
385,"Home in the Valley","1994-01-11",1,1994,"S30E08"
386,"Mountains of Grace","1994-01-18",1,1994,"S30E09"
387,"Seaside Harmony","1994-01-25",1,1994,"S30E10"
388,"A Cold Spring Day","1994-02-01",2,1994,"S30E11"
389,"Evening's Glow","1994-02-08",2,1994,"S30E12"
390,"Blue Ridge Falls","1994-02-15",2,1994,"S30E13"
391,"Reflections of Calm","1994-02-22",2,1994,"S31E01"
392,"Before the Snowfall","1994-03-01",3,1994,"S31E02"
393,"Winding Stream","1994-03-08",3,1994,"S31E03"
394,"Tranquility Cove","1994-03-15",3,1994,"S31E04"
395,"Cabin in the Hollow","1994-03-22",3,1994,"S31E05"
396,"View From Clear Creek","1994-03-29",3,1994,"S31E06"
397,"Bridge to Autumn","1994-04-05",4,1994,"S31E07"
398,"Trail's End","1994-04-12",4,1994,"S31E08"
399,"Evergreen Valley","1994-04-19",4,1994,"S31E09"
400,"Balmy Beach","1994-04-26",4,1994,"S31E10"
401,"Lake at the Ridge","1994-05-03",5,1994,"S31E11"
402,"In the Midst of Winter","1994-05-10",5,1994,"S31E12"
403,"Wilderness Day","1994-05-17",5,1994,"S31E13"
